 Detector [0 = SRPD 1 = HF], Technique [0 = RXN 1 = SPM],  Stored [0 = Data 1 = Errors], Systematic [0 = Normal 1 = LOOSE 2 = NOMINAL 3 = TIGHT], Vertex [0 = Normal 1 = WIDE 2 = NARROW], Bin 0, Bin 1, Bin 2, Bin 3, Bin 4, Bin 5, Bin 6, 
0,0,0,0,0,-0.035949,0.0176447,0.0144116,0.0205511,0.00717452,0.00176159,-0.00800604
0,0,0,0,1,-0.035949,0.0176447,0.0144116,0.0205511,0.00717452,0.00176159,-0.00800604
0,0,0,0,2,-0.0566575,-0.0100436,0.0147479,0.0208669,0.0078235,0.00333956,0.000663839
0,0,0,1,0,-0.0927527,0.0143354,-0.00117061,0.0259633,0.0396325,0.0361162,0.0152132
0,0,0,1,1,-0.0927527,0.0143354,-0.00117061,0.0259633,0.0396325,0.0361162,0.0152132
0,0,0,1,2,-0.0583923,0.0168413,0.00367266,0.0119043,0.0192296,0.0258106,0.015425
0,0,0,2,0,-0.0853964,0.000522399,0.0125824,0.0153036,0.0160784,0.0120876,0.00411495
0,0,0,2,1,-0.0853964,0.000522399,0.0125824,0.0153036,0.0160784,0.0120876,0.00411495
0,0,0,2,2,-0.0987645,-0.0125273,0.0112323,0.0216206,0.0188355,0.0171747,0.0128884
0,0,0,3,0,-0.0280672,0.0363497,0.00999373,0.0119022,0.000147305,-0.00442577,-0.0112482
0,0,0,3,1,-0.0280672,0.0363497,0.00999373,0.0119022,0.000147305,-0.00442577,-0.0112482
0,0,0,3,2,-0.0277762,0.00997157,0.0171485,0.0169907,0.00557367,0.00597269,0.00599171
1,0,0,0,0,-0.00809465,-0.00415766,-0.0103008,0.00228839,0.0129485,-0.0102315,0.000906368
1,0,0,0,1,-0.00809465,-0.00415766,-0.0103008,0.00228839,0.0129485,-0.0102315,0.000906368
1,0,0,0,2,-0.0593043,-0.130585,0.00194756,-0.0226666,0.0348683,-0.0322043,-0.0608219
1,0,0,1,0,0.0482117,0.125604,-0.00199356,-0.0249677,-0.0163595,-0.0405729,-0.0245876
